image,x,y,w,h
images/adfbecd6-dc58-40cf-b8fa-de1305046cdd.jpg,0.5,0.47890625,0.96796875,0.434375
images/10a0ce75-b29b-4f29-a6ca-3e018f52f467.jpg,0.46484375,0.44609375,0.1953125,0.125
images/5053e6c0-a80b-4daa-87ce-a6559c6a5823.jpg,0.3796875,0.625,0.065625,0.071875
images/28ebaa74-dcaf-4acc-aa9a-e199d73d5d99.jpg,0.6328125,0.34453125,0.734375,0.6078125
images/27bb99a8-f174-421a-8bb1-41867eadb852.jpg,0.4046875,0.32421875,0.10390625,0.1265625
images/afcb25fe-4db9-4d7c-9fb4-79420c00d7ec.jpg,0.5,0.63515625,1.0,0.575
images/a2aba9a4-4e4b-4da6-ba60-b06f10a1ee6d.jpg,0.5046875,0.50859375,0.7015625,0.48828125
images/e6c7f1fd-7585-4211-a565-7ae2729e3c32.jpg,0.2203125,0.146875,0.1625,0.1828125
images/8925c887-c026-4e2d-b678-52bd9a14592a.jpg,0.56640625,0.421875,0.865625,0.44375
images/60def485-7833-4e70-b5a1-0059fe00fd46.jpg,0.471875,0.25546875,0.09609375,0.1
images/5ab1cc7b-f170-4955-a3aa-b944a6c0d896.jpg,0.4171875,0.396875,0.50703125,0.29609375
images/87b669f5-aea3-4a36-8613-fd4b27185b71.jpg,0.4953125,0.4765625,0.95546875,0.65703125
images/97f655da-6e51-45f9-a5c1-f0e2fe2d50e8.jpg,0.48515625,0.6390625,0.3046875,0.36953125
images/860a0283-3699-45c0-ba24-6d1e20b4d92a.jpg,0.5,0.49609375,0.36875,0.325
images/faf4afd2-34de-4d77-ad7f-e6e47e30df7c.jpg,0.59375,0.13046875,0.02890625,0.03359375
images/bf504d83-9e60-4016-a07f-cf8439327475.jpg,0.5,0.32109375,1.0,0.6234375
images/fc192bb3-af40-4714-ba18-6a2bc4117ea1.jpg,0.5,0.33828125,1.0,0.459375
images/b220fcb1-f460-453c-913b-41f23eca2fbb.jpg,0.54140625,0.5015625,0.509375,0.71875
images/aa59fa46-9e1f-4a76-a107-43219d97d264.jpg,0.38125,0.3265625,0.709375,0.503125
images/42476ac4-ad15-49e6-97be-023c32d38462.jpg,0.478125,0.51796875,0.20078125,0.06875
images/2df0815e-b130-46bf-8533-2519b0b79d70.jpg,0.48359375,0.51796875,0.91484375,0.5265625
images/abef0db5-0879-42ca-a7db-4addc3299b2a.jpg,0.24921875,0.11640625,0.115625,0.090625
images/cb909763-fe83-4da3-a803-0f390260b24b.jpg,0.50078125,0.56796875,0.9984375,0.709375
images/916aa47c-cab8-40e8-8b7f-e82ea2bb7981.jpg,0.62109375,0.528125,0.6734375,0.6421875
images/12d68b55-5800-47d9-b5bd-547e2d3ab81e.jpg,0.61328125,0.50546875,0.74296875,0.8640625
images/d15bb2da-eaf6-4c0b-b954-fa34977bdcd9.jpg,0.55546875,0.43125,0.1390625,0.09296875
images/52c055c1-23dd-4c0f-8454-2d801f4c48d2.jpg,0.434375,0.54609375,0.1203125,0.09453125
images/f37befba-22fe-4fbe-a607-52b49cc8bc29.jpg,0.27265625,0.19453125,0.090625,0.1265625
images/932b3240-9553-431a-966c-fd7a4a6f763f.jpg,0.54921875,0.40390625,0.05859375,0.03203125
